W(Hz),Vpp(V),t(s)
10,5.70E+00,5.04E-02
100,5.76E+00,5.12E-03
500,4.08E+00,1.22E-03
1000,2.60E+00,6.72E-04
5000,5.92E-01,1.42E-04
10000,3.20E-01,7.36E-05
20000,1.60E-01,3.72E-05
100000,7.40E-02,7.68E-06
